"","date","page_views"
"1",2019-05-08,1664
"2",2019-05-09,1632
"3",2019-05-10,2428
"4",2019-05-11,1154
"5",2019-05-12,1304
"6",2019-05-13,1723
"7",2019-05-14,2012
"8",2019-05-15,1780
"9",2019-05-16,2191
"10",2019-05-17,1822
"11",2019-05-18,1006
"12",2019-05-19,1079
"13",2019-05-20,1646
"14",2019-05-21,1774
"15",2019-05-22,1512
"16",2019-05-23,2006
"17",2019-05-24,2091
"18",2019-05-25,980
"19",2019-05-26,1154
"20",2019-05-27,1626
"21",2019-05-28,1708
"22",2019-05-29,2006
"23",2019-05-30,1521
"24",2019-05-31,1796
"25",2019-06-01,1162
"26",2019-06-02,1335
"27",2019-06-03,2826
"28",2019-06-04,1965
"29",2019-06-05,1892
"30",2019-06-06,1565
"31",2019-06-07,1305
"32",2019-06-08,993
"33",2019-06-09,1156
"34",2019-06-10,2285
"35",2019-06-11,1795
"36",2019-06-12,2025
"37",2019-06-13,1594
"38",2019-06-14,1649
"39",2019-06-15,824
"40",2019-06-16,821
"41",2019-06-17,1332
"42",2019-06-18,1439
"43",2019-06-19,1371
"44",2019-06-20,1183
"45",2019-06-21,1693
"46",2019-06-22,726
"47",2019-06-23,812
"48",2019-06-24,1382
"49",2019-06-25,1342
"50",2019-06-26,1543
"51",2019-06-27,2062
"52",2019-06-28,1590
"53",2019-06-29,884
"54",2019-06-30,788
"55",2019-07-01,1326
"56",2019-07-02,2001
"57",2019-07-03,1908
"58",2019-07-04,1385
"59",2019-07-05,1543
"60",2019-07-06,1088
"61",2019-07-07,923
"62",2019-07-08,2373
"63",2019-07-09,2254
"64",2019-07-10,1728
"65",2019-07-11,1515
"66",2019-07-12,1361
"67",2019-07-13,791
"68",2019-07-14,879
"69",2019-07-15,1348
"70",2019-07-16,1344
"71",2019-07-17,1934
"72",2019-07-18,2834
"73",2019-07-19,1515
"74",2019-07-20,816
"75",2019-07-21,910
"76",2019-07-22,3183
"77",2019-07-23,2761
"78",2019-07-24,1817
"79",2019-07-25,1562
"80",2019-07-26,1452
"81",2019-07-27,966
"82",2019-07-28,1041
"83",2019-07-29,1565
"84",2019-07-30,1417
"85",2019-07-31,1807
"86",2019-08-01,1379
"87",2019-08-02,1187
"88",2019-08-03,734
"89",2019-08-04,811
"90",2019-08-05,1461
"91",2019-08-06,1323
"92",2019-08-07,2545
"93",2019-08-08,2190
"94",2019-08-09,1579
"95",2019-08-10,1006
"96",2019-08-11,850
"97",2019-08-12,1404
"98",2019-08-13,1612
"99",2019-08-14,1637
"100",2019-08-15,3671
"101",2019-08-16,2591
"102",2019-08-17,1174
"103",2019-08-18,1771
"104",2019-08-19,3146
"105",2019-08-20,2136
"106",2019-08-21,1671
"107",2019-08-22,1764
"108",2019-08-23,1442
"109",2019-08-24,1007
"110",2019-08-25,976
"111",2019-08-26,1620
"112",2019-08-27,1458
"113",2019-08-28,1872
"114",2019-08-29,2155
"115",2019-08-30,1556
"116",2019-08-31,836
"117",2019-09-01,893
"118",2019-09-02,1205
"119",2019-09-03,1492
"120",2019-09-04,1376
"121",2019-09-05,1585
"122",2019-09-06,1520
"123",2019-09-07,1126
"124",2019-09-08,1117
"125",2019-09-09,1514
"126",2019-09-10,1417
"127",2019-09-11,1777
"128",2019-09-12,1726
"129",2019-09-13,1431
"130",2019-09-14,1059
"131",2019-09-15,1004
"132",2019-09-16,2129
"133",2019-09-17,1780
"134",2019-09-18,1422
"135",2019-09-19,1318
"136",2019-09-20,1239
"137",2019-09-21,745
"138",2019-09-22,792
"139",2019-09-23,3859
"140",2019-09-24,3248
"141",2019-09-25,2222
"142",2019-09-26,2053
"143",2019-09-27,1492
"144",2019-09-28,907
"145",2019-09-29,961
"146",2019-09-30,2570
"147",2019-10-01,2074
"148",2019-10-02,1582
"149",2019-10-03,1565
"150",2019-10-04,1411
"151",2019-10-05,983
"152",2019-10-06,1040
"153",2019-10-07,4271
"154",2019-10-08,2994
"155",2019-10-09,2219
"156",2019-10-10,2134
"157",2019-10-11,1914
"158",2019-10-12,1100
"159",2019-10-13,1183
"160",2019-10-14,2764
"161",2019-10-15,2142
"162",2019-10-16,1655
"163",2019-10-17,1389
"164",2019-10-18,1136
"165",2019-10-19,911
"166",2019-10-20,1052
"167",2019-10-21,2472
"168",2019-10-22,1747
"169",2019-10-23,1696
"170",2019-10-24,2283
"171",2019-10-25,1838
"172",2019-10-26,900
"173",2019-10-27,870
"174",2019-10-28,1776
