"","date","sales","event"
"1",2018-06-03,32735.8859017166,NA
"2",2018-06-10,38290.068733839,NA
"3",2018-06-17,39973.9520235865,NA
"4",2018-06-24,35621.9308712402,NA
"5",2018-07-01,28983.7213920283,NA
"6",2018-07-08,47251.1924568138,NA
"7",2018-07-15,31511.688671802,NA
"8",2018-07-22,50985.6061066683,NA
"9",2018-07-29,41182.8467881272,NA
"10",2018-08-05,36597.6160634821,NA
"11",2018-08-12,39973.9520235865,NA
"12",2018-08-19,49744.8822141498,NA
"13",2018-08-26,56173.1418684313,NA
"14",2018-09-02,23049.4253200174,NA
"15",2018-09-09,44325.9731759329,NA
"16",2018-09-16,29467.2792978446,NA
"17",2018-09-23,51679.1138374149,NA
"18",2018-09-30,28126.7833310881,NA
"19",2018-10-07,44325.9731759329,NA
"20",2018-10-14,70327.9223393187,NA
"21",2018-10-21,42975.0715327222,NA
"22",2018-10-28,53755.35233935,NA
"23",2018-11-04,57887.0179903117,NA
"24",2018-11-11,98616.0598295701,"November Sale"
"25",2018-11-18,95272.7771946733,"November Sale"
"26",2018-11-25,39352.6719294049,NA
"27",2018-12-02,38275.3783670801,NA
"28",2018-12-09,29329.5571094792,NA
"29",2018-12-16,42243.6136878482,NA
"30",2018-12-23,35370.9704391077,NA
"31",2018-12-30,202924.396903057,"Product Launch"
"32",2019-01-06,109821.749173593,"Product Launch"
"33",2019-01-13,139302.62202495,"Product Launch"
"34",2019-01-20,46827.6202152634,NA
"35",2019-01-27,53855.736512203,NA
"36",2019-02-03,40022.9199127831,NA
"37",2019-02-10,65066.6899043148,NA
"38",2019-02-17,39128.6438363305,NA
"39",2019-02-24,84212.155222395,NA
"40",2019-03-03,74825.01086341,NA
"41",2019-03-10,85838.2564028906,NA
"42",2019-03-17,50571.8274429571,NA
"43",2019-03-24,75410.7892379241,NA
"44",2019-03-31,56995.190308319,NA
"45",2019-04-07,93301.8196545108,NA
"46",2019-04-14,70171.2250938897,NA
"47",2019-04-21,52474.2299382444,NA
"48",2019-04-28,103599.154653937,NA
"49",2019-05-05,51693.8042041738,NA
"50",2019-05-12,95690.8405486892,NA
"51",2019-05-19,47987.5470906074,NA
"52",2019-05-26,192188.187196706,NA
"53",2019-06-02,185327.785920265,"Product Launch"
"54",2019-06-09,302482.236625861,"Product Launch"
"55",2019-06-16,76784.9506285032,NA
"56",2019-06-23,171548.221900347,NA
"57",2019-06-30,92061.7078606074,NA
"58",2019-07-07,115054.212973694,NA
"59",2019-07-14,104557.088986346,NA
"60",2019-07-21,122253.472043376,NA
"61",2019-07-28,54171.579397521,NA
"62",2019-08-04,101965.096191447,NA
"63",2019-08-11,101017.934794662,NA
"64",2019-08-18,151331.216746922,NA
"65",2019-08-25,87855.3661786208,NA
"66",2019-09-01,106376.858168614,NA
"67",2019-09-08,91191.5484695841,NA
"68",2019-09-15,99316.9127436962,NA
"69",2019-09-22,108046.051091602,NA
"70",2019-09-29,137089.518272711,NA
"71",2019-10-06,65676.2177050893,NA
"72",2019-10-13,93918.8150583878,NA
"73",2019-10-20,300191.763608691,"Product Launch"
"74",2019-10-27,466748.081428875,"Product Launch"
"75",2019-11-03,212297.707833344,"Product Launch"
"76",2019-11-10,147400.931540281,NA
"77",2019-11-17,133930.477320916,NA
"78",2019-11-24,276212.188269124,"November Sale"
"79",2019-12-01,290035.82338932,"November Sale"
"80",2019-12-08,78009.7599570328,NA
"81",2019-12-15,140186.737264395,NA
"82",2019-12-22,186901.49145932,NA
"83",2019-12-29,117567.857145878,NA
"84",2020-01-05,149485.127324211,NA
"85",2020-01-12,137804.449454981,NA
"86",2020-01-19,139507.919900407,NA
"87",2020-01-26,195697.960654872,NA
"88",2020-02-02,138660.775417306,NA
"89",2020-02-09,86381.4327138037,NA
"90",2020-02-16,152297.108361325,NA
"91",2020-02-23,197337.772844342,NA
