"","date","organic_searches"
"1",2019-05-08 00:00:00,16
"2",2019-05-08 01:00:00,26
"3",2019-05-08 02:00:00,15
"4",2019-05-08 03:00:00,21
"5",2019-05-08 04:00:00,21
"6",2019-05-08 07:00:00,6
"7",2019-05-08 08:00:00,25
"8",2019-05-08 09:00:00,30
"9",2019-05-08 10:00:00,38
"10",2019-05-08 11:00:00,29
"11",2019-05-08 12:00:00,27
"12",2019-05-08 13:00:00,22
"13",2019-05-08 14:00:00,30
"14",2019-05-08 15:00:00,37
"15",2019-05-08 16:00:00,24
"16",2019-05-08 17:00:00,16
"17",2019-05-08 18:00:00,21
"18",2019-05-08 19:00:00,14
"19",2019-05-08 20:00:00,18
"20",2019-05-08 21:00:00,15
"21",2019-05-08 22:00:00,13
"22",2019-05-08 23:00:00,18
"23",2019-05-09 00:00:00,18
"24",2019-05-09 01:00:00,24
"25",2019-05-09 02:00:00,23
"26",2019-05-09 03:00:00,29
"27",2019-05-09 04:00:00,27
"28",2019-05-09 05:00:00,27
"29",2019-05-09 06:00:00,21
"30",2019-05-09 07:00:00,27
"31",2019-05-09 08:00:00,35
"32",2019-05-09 09:00:00,21
"33",2019-05-09 10:00:00,29
"34",2019-05-09 11:00:00,28
"35",2019-05-09 12:00:00,23
"36",2019-05-09 13:00:00,23
"37",2019-05-09 14:00:00,25
"38",2019-05-09 15:00:00,24
"39",2019-05-09 16:00:00,26
"40",2019-05-09 17:00:00,15
"41",2019-05-09 18:00:00,18
"42",2019-05-09 19:00:00,14
"43",2019-05-09 20:00:00,9
"44",2019-05-09 21:00:00,14
"45",2019-05-09 22:00:00,15
"46",2019-05-09 23:00:00,14
"47",2019-05-10 00:00:00,16
"48",2019-05-10 01:00:00,17
"49",2019-05-10 02:00:00,11
"50",2019-05-10 03:00:00,15
"51",2019-05-10 04:00:00,26
"52",2019-05-10 05:00:00,18
"53",2019-05-10 06:00:00,14
"54",2019-05-10 07:00:00,21
"55",2019-05-10 08:00:00,21
"56",2019-05-10 09:00:00,19
"57",2019-05-10 10:00:00,25
"58",2019-05-10 11:00:00,21
"59",2019-05-10 12:00:00,23
"60",2019-05-10 13:00:00,27
"61",2019-05-10 14:00:00,19
"62",2019-05-10 15:00:00,26
"63",2019-05-10 16:00:00,20
"64",2019-05-10 17:00:00,13
"65",2019-05-10 18:00:00,12
"66",2019-05-10 19:00:00,11
"67",2019-05-10 20:00:00,8
"68",2019-05-10 21:00:00,7
"69",2019-05-10 22:00:00,12
"70",2019-05-10 23:00:00,11
"71",2019-05-11 00:00:00,6
"72",2019-05-11 01:00:00,12
"73",2019-05-11 02:00:00,10
"74",2019-05-11 03:00:00,11
"75",2019-05-11 04:00:00,8
"76",2019-05-11 05:00:00,11
"77",2019-05-11 06:00:00,14
"78",2019-05-11 07:00:00,8
"79",2019-05-11 08:00:00,14
"80",2019-05-11 09:00:00,8
"81",2019-05-11 10:00:00,15
"82",2019-05-11 11:00:00,17
"83",2019-05-11 12:00:00,12
"84",2019-05-11 13:00:00,19
"85",2019-05-11 14:00:00,8
"86",2019-05-11 15:00:00,16
"87",2019-05-11 16:00:00,10
"88",2019-05-11 17:00:00,15
"89",2019-05-11 18:00:00,9
"90",2019-05-11 19:00:00,5
"91",2019-05-11 20:00:00,6
"92",2019-05-11 21:00:00,6
"93",2019-05-11 22:00:00,11
"94",2019-05-11 23:00:00,8
"95",2019-05-12 00:00:00,11
"96",2019-05-12 01:00:00,12
"97",2019-05-12 02:00:00,10
"98",2019-05-12 03:00:00,9
"99",2019-05-12 04:00:00,11
"100",2019-05-12 05:00:00,6
"101",2019-05-12 06:00:00,12
